id,Airline Name,Gender,Customer Type,Age,Travel Date,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Overall Satisfaction Rating,Satisfaction Level
70172,British Airways,Male,Loyal Customer,13,30-01-2002,Personal Travel,Eco Plus,460,3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18,3.86,satisfied
5047,Air India,Male,disloyal Customer,25,01-07-2015,Business travel,Business,235,3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6,2.29,dissatisfied
110028,Qatar Airways,Female,Loyal Customer,26,21-07-2000,Business travel,Business,1142,2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0,3.71,neutral
24026,Emirates,Female,Loyal Customer,25,28-08-2006,Business travel,Business,562,2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9,3,neutral
119299,British Airways,Male,Loyal Customer,61,09-11-2005,Business travel,Business,214,3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0,3.5,neutral
111157,Lufthansa,Female,Loyal Customer,26,29-10-2021,Personal Travel,Eco,1180,3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0,2.5,dissatisfied
82113,Air France,Male,Loyal Customer,47,18-03-2011,Personal Travel,Eco,1276,2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23,2.79,dissatisfied
96462,Cathay Pacific,Female,Loyal Customer,52,23-09-2006,Business travel,Business,2035,4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0,4.5,very satisfied
79485,Lufthansa,Female,Loyal Customer,41,30-08-2001,Business travel,Business,853,1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0,2.07,dissatisfied
65725,Singapore Airlines,Male,disloyal Customer,20,13-10-2018,Business travel,Eco,1061,3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0,2.93,dissatisfied
34991,Cathay Pacific,Female,disloyal Customer,24,29-08-2016,Business travel,Eco,1182,4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0,3.57,neutral
51412,British Airways,Female,Loyal Customer,12,30-06-2017,Personal Travel,Eco Plus,308,2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0,2.43,dissatisfied
98628,Air France,Male,Loyal Customer,53,03-08-2013,Business travel,Eco,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8,2.21,dissatisfied
83502,British Airways,Male,Loyal Customer,33,13-05-2010,Personal Travel,Eco,946,4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0,3.43,neutral
95789,British Airways,Female,Loyal Customer,26,31-12-2009,Personal Travel,Eco,453,3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35,2.36,dissatisfied
100580,Vistara,Male,disloyal Customer,13,23-10-2022,Business travel,Eco,486,2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0,2.43,dissatisfied
71142,Air India,Female,Loyal Customer,26,04-01-2017,Business travel,Business,2123,3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51,3.79,neutral
127461,Lufthansa,Male,Loyal Customer,41,16-11-2006,Business travel,Business,2075,4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10,4.21,satisfied
70354,Delta Air Lines,Female,Loyal Customer,45,03-04-2016,Business travel,Business,2486,4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5,4.29,satisfied
66246,Singapore Airlines,Male,Loyal Customer,38,15-08-2014,Personal Travel,Eco,460,2,3,3,2,5,3,5,5,1,2,4,3,2,5,17,18,3.21,neutral
39076,Air France,Male,Loyal Customer,9,07-07-2013,Business travel,Eco,1174,2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4,2.64,dissatisfied
22434,Lufthansa,Female,Loyal Customer,17,01-01-2000,Personal Travel,Eco,208,3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0,3.57,neutral
43510,Lufthansa,Female,Loyal Customer,43,14-05-2002,Personal Travel,Eco,752,3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29,3.86,satisfied
114090,Air France,Female,Loyal Customer,58,19-02-2011,Personal Travel,Eco,2139,4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0,3.79,neutral
